step,reward
715,4.729163
716,4.731314
717,4.731327
718,4.73159
719,4.73159
720,4.731603
721,4.731867
722,4.733984
723,4.734032
724,4.734032
725,4.734304
726,4.734349
727,4.73435
728,4.739486
729,4.739487
730,4.739487
731,4.739729
732,4.741919
733,4.741929
734,4.74193
735,4.742163
736,4.742391
737,4.742432
738,4.742656
739,4.742656
740,4.742657
741,4.742877
742,4.748313
743,4.753594
744,4.753633
745,4.760059
746,4.760059
747,4.760267
748,4.760267
749,4.760276
750,4.760277
751,4.760277
752,4.762353
753,4.762353
754,4.762388
755,4.76244
756,4.762473
757,4.76248
758,4.76248
759,4.762513
760,4.762546
761,4.762553
762,4.762553
763,4.764499
764,4.764692
765,4.766612
766,4.766612
767,4.768508
768,4.768508
769,4.768509
770,4.770382
771,4.770413
772,4.772265
773,4.774091
774,4.775908
775,4.781393
776,4.781392
777,4.781565
778,4.78159
779,4.783359
780,4.783523
781,4.783523
782,4.785345
783,4.785368
784,4.785368
785,4.785526
786,4.785531
787,4.785687
788,4.785687
789,4.785692
790,4.785693
791,4.785715
792,4.787502
793,4.787534
794,4.787681
795,4.787712
796,4.787712
797,4.793303
798,4.793446
799,4.793587
800,4.798868
801,4.798868
802,4.798886
803,4.798904
804,4.79904
805,4.79904
806,4.800758
807,4.800758
808,4.800759
809,4.800891
810,4.802521
811,4.802525
812,4.802525
813,4.802527
814,4.802545
815,4.802545
816,4.804151
817,4.804274
818,4.804277
819,4.805861
820,4.805861
821,4.811068
822,4.811069
823,4.811068
824,4.811068
825,4.811073
826,4.811072
827,4.81119
828,4.811305
829,4.811419
830,4.813015
831,4.813123
832,4.813137
833,4.813137
834,4.81315
835,4.813257
1,3.433228E-05
2,0.0001153946
1,2.43187E-05
2,7.200241E-05
1,2.43187E-05
2,9.012222E-05
1,2.622604E-05
2,8.773804E-05
1,2.622604E-05
2,9.298325E-05
