-15870,-15870,-14223,-14223
-16101,-16101,-15358,-15358
-15942,-15942,-16118,-16118
-15385,-15385,-16487,-16487
-14456,-14456,-16458,-16458
-13176,-13176,-16021,-16021
-11577,-11577,-15193,-15193
-9691,-9691,-13996,-13996
-7569,-7569,-12461,-12461
-5265,-5265,-10619,-10619
-2832,-2832,-8515,-8516
-328,-328,-6207,-6207
2179,2179,-3748,-3748
4636,4636,-1196,-1196
6982,6982,1382,1382
9155,9155,3928,3928
11103,11103,6379,6379
12782,12782,8676,8676
14152,14152,10756,10756
15174,15174,12576,12576
15822,15822,14092,14092
16088,16088,15264,15264
15964,15964,16058,16058
15448,15448,16462,16462
14552,14552,16468,16468
13303,13303,16074,16074
11733,11733,15280,15280
9875,9875,14116,14116
7773,7773,12611,12611
5484,5484,10799,10799
3061,3061,8719,8719
564,564,6427,6427
-1946,-1946,3981,3981
-4409,-4409,1436,1436
-6766,-6766,-1141,-1141
-8959,-8959,-3692,-3692
-10929,-10929,-6153,-6153
-12634,-12634,-8466,-8466
-14033,-14033,-10570,-10570
-15093,-15093,-12415,-12415
-15775,-15775,-13959,-13959
-16075,-16075,-15165,-15165
-15987,-15987,-15997,-15997
-15511,-15511,-16438,-16438
-14649,-14649,-16479,-16479
-13432,-13432,-16123,-16123
-11889,-11889,-15369,-15369
-10059,-10059,-14237,-14237
-7978,-7978,-12762,-12762
-5704,-5704,-10978,-10978
-3292,-3292,-8923,-8923
-801,-801,-6649,-6649
1710,1710,-4214,-4214
4179,4179,-1678,-1678
6548,6548,898,898
8757,8757,3453,3453
10752,10752,5925,5925
12482,12482,8253,8253
13910,13910,10380,10380
15001,15001,12250,12250
15724,15724,13823,13823
16060,16060,15061,15061
16007,16007,15933,15933
15567,15567,16409,16409
14746,14746,16488,16488
13561,13561,16168,16168
12047,12047,15456,15457
10243,10243,14359,14359
8188,8188,12914,12915
5930,5930,11158,11158
3530,3530,9131,9131
1044,1044,6876,6876
-1466,-1466,4455,4455
-3942,-3942,1927,1927
-6320,-6320,-648,-648
-8547,-8547,-3207,-3207
-10567,-10567,-5687,-5687
-12323,-12323,-8030,-8030
-13780,-13780,-10180,-10180
-14905,-14905,-12077,-12077
-15668,-15668,-13679,-13679
-16042,-16042,-14950,-14950
-16026,-16026,-15859,-15859
-15622,-15622,-16377,-16377
-14841,-14841,-16494,-16494
-13690,-13690,-16212,-16212
-12207,-12207,-15538,-15538
-10429,-10429,-14481,-14481
-8398,-8398,-13069,-13069
-6159,-6159,-11341,-11341
-3770,-3770,-9338,-9338
-1290,-1290,-7105,-7105
1219,1219,-4698,-4698
3702,3702,-2178,-2178
6092,6092,394,394
8335,8335,2957,2957
10377,10377,5449,5449
12164,12164,7807,7807
13652,13652,9977,9977
14810,14810,11904,11904
15608,15608,13536,13536
16024,16024,14841,14841
16046,16046,15785,15785
15680,15680,16347,16347
14934,14934,16503,16503
13822,13822,16259,16259
12369,12369,15622,15622
10617,10617,14605,14605
8608,8608,13225,13225
6388,6388,11525,11525
4010,4010,9546,9546
1535,1535,7335,7335
-975,-975,4941,4941
-3464,-3464,2428,2428
-5867,-5867,-142,-142
-8126,-8126,-2710,-2710
-10190,-10190,-5212,-5212
-12008,-12008,-7587,-7587
-13526,-13526,-9777,-9777
-14717,-14717,-11732,-11732
-15551,-15551,-13397,-13397
-16009,-16009,-14734,-14734
-16068,-16068,-15714,-15714
-15738,-15738,-16315,-16315
-15027,-15027,-16513,-16513
-13951,-13951,-16307,-16307
-12529,-12529,-15705,-15705
-10803,-10803,-14723,-14723
-8815,-8815,-13380,-13380
-6613,-6613,-11707,-11707
-4246,-4246,-9751,-9751
-1777,-1777,-7560,-7560
732,732,-5181,-5181
3227,3227,-2675,-2675
5644,5644,-106,-106
7920,7920,2465,2465
10005,10005,4979,4979
11849,11849,7369,7369
13401,13401,9580,9580
14624,14624,11559,11559
15493,15493,13258,13258
15986,15986,14627,14627
16087,16087,15643,15643
15793,15793,16279,16279
15115,15115,16520,16520
14073,14073,16350,16350
12684,12684,15785,15785
10983,10983,14837,14837
9017,9017,13530,13530
6832,6832,11884,11884
4478,4478,9952,9952
2015,2015,7778,7778
-494,-494,5416,5416
-2994,-2994,2918,2918
-5423,-5423,351,351
-7716,-7716,-2223,-2223
-9821,-9821,-4747,-4747
-11689,-11689,-7152,-7152
-13274,-13274,-9383,-9383
-14528,-14528,-11387,-11387
-15431,-15431,-13115,-13115
-15959,-15959,-14519,-14519
-16101,-16101,-15568,-15568
-15842,-15842,-16239,-16239
-15199,-15199,-16518,-16518
-14187,-14187,-16390,-16390
-12833,-12833,-15859,-15859
-11159,-11159,-14944,-14944
-9213,-9213,-13669,-13669
-7046,-7046,-12056,-12056
-4706,-4706,-10147,-10147
-2250,-2250,-7993,-7993
259,259,-5644,-5644
2763,2763,-3157,-3157
5200,5200,-592,-592
7509,7509,1984,1984
9634,9634,4514,4514
11526,11526,6935,6935
13138,13138,9185,9185
14428,14428,11211,11211
15363,15363,12965,12965
15926,15926,14405,14405
16104,16104,15487,15487
15886,15886,16194,16194
15276,15276,16508,16508
14297,14297,16422,16422
12972,12972,15927,15927
11330,11330,15046,15046
9407,9407,13801,13801
7257,7257,12222,12222
4931,4931,10338,10338
2485,2485,8204,8204
-22,-22,5871,5871
-2528,-2528,3395,3395
-4973,-4973,836,836
-7299,-7299,-1742,-1742
-9443,-9443,-4279,-4279
